Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,Legalization of Abortion,AGAINST,EO,neg,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. rape SemST,2,"['rape', 'SemST']",those deni women rape abort ppl tell rape victim ask rape semst
I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. #abortion. #SemST,Legalization of Abortion,AGAINST,WO,neg,I get several requests with petitions to save whales but never to stop the slaughter of babies in the wombs of mothers. abortion. SemST,2,"['abortion', 'SemST']",i get sever request petit save whale never stop slaughter babi womb mother abort semst
"I was an accidental baby and as far as I know, my parents were happy to have me. #thanksmom #SemST",Legalization of Abortion,AGAINST,EO,pos,"I was an accidental baby and as far as I know, my parents were happy to have me. thanksmom SemST",2,"['thanksmom', 'SemST']",i accident babi far i know parent happi thanksmom semst
"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST",Legalization of Abortion,AGAINST,EO,neg,"Natural family planning isn't ""planning"" at all since it just doesn't work. SemST",1,['SemST'],natur famili plan plan sinc work semst
"@BuresLynn @sallykohn @CoFemale Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence.  #SemST",Legalization of Abortion,NONE,WO,neg,"Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence. SemST",1,['SemST'],kohn also anti human right anti social justic anti peac pro violenc semst
"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",Legalization of Abortion,AGAINST,EO,neg,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! SemST",1,['SemST'],the idea fetus human outrag i mean els would a dog a dragon the unborn human be semst
Anti choice laws only effect women.  People don't care about things that don't effect men #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws only effect women. People don't care about things that don't effect men SemST,1,['SemST'],anti choic law effect women peopl care thing effect men semst
@bradfischetti just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST,Legalization of Abortion,AGAINST,EO,pos,just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance LFO SemST,2,"['LFO', 'SemST']",want say i appreci pro life stanc a lot celebr afraid show bold stanc lfo semst
"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",Legalization of Abortion,NONE,WO,neg,"while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. SemST",1,['SemST'],elimin drug car plane food electr anyth els may caus death semst
Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,Legalization of Abortion,AGAINST,EO,pos,Please vote against the anti-choice amendment to the Scotland Bill on Monday - Thanks! abortionrights SemST,2,"['abortionrights', 'SemST']",pleas vote anti choic amend scotland bill monday thank abortionright semst
"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",Legalization of Abortion,AGAINST,WO,neg,"DefentThe8th? Why would I defend something that kills people? Remember Savita, killed by Irish ""prolife"" laws? RepealThe8th SemST",5,"['DefentThe8th', 'Savita', 'prolife', 'RepealThe8th', 'SemST']",defentth th whi would i defend someth kill peopl rememb savita kill irish prolif law repealth th semst
@WBCBowie NY pastors need to call their State Senators and stop this barbaric bill!istorture #SemST,Legalization of Abortion,AGAINST,WO,neg,NY pastors need to call their State Senators and stop this barbaric bill!istorture SemST,1,['SemST'],ny pastor need call state senat stop barbar bill istortur semst
"Not all women want to have or bear children, and that is okay  #SemST",Legalization of Abortion,FAVOR,EO,pos,"Not all women want to have or bear children, and that is okay SemST",1,['SemST'],not women want bear children okay semst
@notmuchelse Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! @chooseliferacer #SemST,Legalization of Abortion,AGAINST,EO,neg,Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! SemST,1,['SemST'],don get pregnant make sure get pregnant kill child semst
I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. #PregnancyForAll #SemST,Legalization of Abortion,AGAINST,WO,pos,I have a right to identify as pregnant and have an abortion. Having an abortion confirms my power of choice. PregnancyForAll SemST,2,"['PregnancyForAll', 'SemST']",i right identifi pregnant abort have abort confirm power choic pregnancyforal semst
Looking forward to the protest today. I can't be there long but I hope my signs will. #Kingston #protesters #SemST,Legalization of Abortion,AGAINST,EO,pos,Looking forward to the protest today. I can't be there long but I hope my signs will. Kingston protesters SemST,3,"['Kingston', 'protesters', 'SemST']",look forward protest today i long i hope sign kingston protest semst
"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!""  #SemST",Legalization of Abortion,FAVOR,EO,neg,"Fallopians 3:16 ""Not your fuckin' pregnancy - not your fuckin' business!"" SemST",1,['SemST'],fallopian not fuckin pregnanc not fuckin busi semst
@notmuchelse Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! #SemST,Legalization of Abortion,AGAINST,EO,neg,Then make sure Udon't get pregnant. And don't KILL your child if you do! You are the mom RESPONSIBLE 4child's life! SemST,1,['SemST'],then make sure udon get pregnant and kill child you mom respons child life semst
1.2% of abortions happen at 21 weeks+  (these are only exceptions) #letstalkabortion #SemST,Legalization of Abortion,NONE,NO,other,1.2% of abortions happen at 21 weeks+ (these are only exceptions) letstalkabortion SemST,2,"['letstalkabortion', 'SemST']",abort happen week except letstalkabort semst
"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",Legalization of Abortion,NONE,NO,other,"How many location-efficient, affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? SemST",2,"['affordablehousing', 'SemST']",how mani locat effici affordableh unit could nyc metro pop m creat built cemeteri semst
you can't say you support women's rights but be against abortion #SemST,Legalization of Abortion,AGAINST,EO,neg,you can't say you support women's rights but be against abortion SemST,1,['SemST'],say support women right abort semst
PRAISE REPORT Two babies savedOne in Dallas TX&in Charlotte NC  If we put forth effort with prayer- miracle's happen  #SemST,Legalization of Abortion,AGAINST,EO,pos,PRAISE REPORT Two babies savedOne in Dallas TX&in Charlotte NC If we put forth effort with prayer- miracle's happen SemST,1,['SemST'],prais report two babi savedon dalla tx charlott nc if put forth effort prayer miracl happen semst
Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST,Legalization of Abortion,FAVOR,EO,neg,Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men SemST,1,['SemST'],anti care peopl law hurt femal care thing effect men semst
The most horrific violence in America is the war on babies. #SemST,Legalization of Abortion,AGAINST,EO,neg,The most horrific violence in America is the war on babies. SemST,1,['SemST'],the horrif violenc america war babi semst
@ubiquity75 @Aaron_Hamm well said. Men are playing political football with women's right to have control over our bodies. #fail #SemST,Legalization of Abortion,FAVOR,EO,neg,well said. Men are playing political football with women's right to have control over our bodies. fail SemST,2,"['fail', 'SemST']",well said men play polit footbal women right control bodi fail semst
The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has given no explanation of why the law was changed macedonia HRCtte SemST,3,"['macedonia', 'HRCtte', 'SemST']",the govern given explan law chang macedonia hrctte semst
@meamhere It isn't going to happen. The LW and the RW have too many differences. #ForeignPolicy #HealthCareLegislation #Economics #SemST,Legalization of Abortion,NONE,WO,neg,It isn't going to happen. The LW and the RW have too many differences. ForeignPolicy HealthCareLegislation Economics SemST,4,"['ForeignPolicy', 'HealthCareLegislation', 'Economics', 'SemST']",it go happen the lw rw mani differ foreignpolici healthcarelegisl econom semst
I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,Legalization of Abortion,AGAINST,EO,neg,I DenounceHarper because his religious ties are responsible for the MarchForLife anti-choice rallies on Parliament Hill. SemST,3,"['DenounceHarper', 'MarchForLife', 'SemST']",i denounceharp religi tie respons marchforlif anti choic ralli parliament hill semst
So Ariana Grande hates America & Americans? She's not alone #SCOTUS #HILLARY #OBAMA #DEMOCRATS #ACLU #NAACP #HAMAS #ISIS #SemST,Legalization of Abortion,NONE,WO,neg,So Ariana Grande hates America & Americans? She's not alone SCOTUS HILLARY OBAMA DEMOCRATS ACLU NAACP HAMAS ISIS SemST,9,"['SCOTUS', 'HILLARY', 'OBAMA', 'DEMOCRATS', 'ACLU', 'NAACP', 'HAMAS', 'ISIS', 'SemST']",so ariana grand hate america american she not alon scotus hillari obama democrat aclu naacp hama isi semst
People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST,Legalization of Abortion,FAVOR,EO,pos,People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice SemST,1,['SemST'],peopl uterus pro choic peopl pregnant pro choic peopl lost child prochoic semst
@BuhayIpaglaban Bullshit multiplied by bullshit is still bullshit. #SemST,Legalization of Abortion,AGAINST,WO,neg,Bullshit multiplied by bullshit is still bullshit. SemST,1,['SemST'],bullshit multipli bullshit still bullshit semst
@notmuchelse It is no less your child before or after birth. One continuum of life. #SemST,Legalization of Abortion,AGAINST,EO,pos,It is no less your child before or after birth. One continuum of life. SemST,1,['SemST'],it less child birth one continuum life semst
"@toby_dorena Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. #SemST",Legalization of Abortion,FAVOR,EO,pos,"Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. SemST",1,['SemST'],pregnant peopl heartbeat they feel abil make decis health semst
It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? #SemST,Legalization of Abortion,AGAINST,EO,neg,It's undeniable that conception may also be the birth of a soul unto life itself. Why mess with that? SemST,1,['SemST'],it undeni concept may also birth soul unto life whi mess semst
",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? #repealthe8th #SemST",Legalization of Abortion,AGAINST,EO,neg,",@CoraSherlock When is Ms C case you've been promising happening? When'll a court be asked adjudicate her claims? repealthe8th SemST",2,"['repealthe8th', 'SemST']",corasherlock when ms c case promis happen when court ask adjud claim repealth th semst
@MetalheadMonty @tom_six I followed him before I watched human centipede 3.....i now hope never makes another film again #SemST,Legalization of Abortion,NONE,WO,neg,I followed him before I watched human centipede 3.....i now hope never makes another film again SemST,1,['SemST'],i follow i watch human centiped hope never make anoth film semst
There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 #SemST,Legalization of Abortion,AGAINST,EO,neg,There weren't any volunteers outside abortion clinic when she had her abortion bcs there aren't enough of us. Can you join us? 2/2 SemST,1,['SemST'],there volunt outsid abort clinic abort bcs enough us can join us semst
@RickSantorum: I don't *believe* life begins at conception--I *know* life begins at conception. #nrlc2015 #SemST,Legalization of Abortion,AGAINST,EO,pos,I don't *believe* life begins at conception--I *know* life begins at conception. nrlc2015 SemST,2,"['nrlc2015', 'SemST']",i believ life begin concept i know life begin concept nrlc semst
@gaz_dance I'm good like this. I've always been #SemST,Legalization of Abortion,NONE,WO,pos,I'm good like this. I've always been SemST,1,['SemST'],i good like i alway semst
Being a Democrat is never having to say you're sorry... #Slavery #Segregation #KKK #SemST,Legalization of Abortion,NONE,WO,neg,Being a Democrat is never having to say you're sorry... Slavery Segregation KKK SemST,4,"['Slavery', 'Segregation', 'KKK', 'SemST']",be democrat never say sorri slaveri segreg kkk semst
@mistyaiya Just saw your review of @chadkultgen's book at Amazon. I have to say I totally agree with you. A sick marketing ploy. #SemST,Legalization of Abortion,NONE,NO,other,Just saw your review of book at Amazon. I have to say I totally agree with you. A sick marketing ploy. SemST,1,['SemST'],just saw review book amazon i say i total agre a sick market ploy semst
@eilistweets  Surprised? A poll sponsored by biased @AmnestyIreland was always going to give a pro-abortion result #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,Surprised? A poll sponsored by biased was always going to give a pro-abortion result repealthe8th SemST,2,"['repealthe8th', 'SemST']",surpris a poll sponsor bias alway go give pro abort result repealth th semst
"How can someone be calling for abortion in a speech and end it with ""God bless America""? #righttolife #SemST",Legalization of Abortion,AGAINST,EO,neg,"How can someone be calling for abortion in a speech and end it with ""God bless America""? righttolife SemST",2,"['righttolife', 'SemST']",how someon call abort speech end god bless america righttolif semst
It very simple .. Let women choose.. #repealthe8th #notacriminal #SemST,Legalization of Abortion,FAVOR,EO,pos,It very simple .. Let women choose.. repealthe8th notacriminal SemST,3,"['repealthe8th', 'notacriminal', 'SemST']",it simpl let women choos repealth th notacrimin semst
For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,Legalization of Abortion,AGAINST,EO,pos,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen Christian SemST,2,"['Christian', 'SemST']",for great thi merci toward thou hast deliv soul evil place amen christian semst
"@kingstonpolice @ShowTruth ""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? #SemST",Legalization of Abortion,NONE,WO,neg,"""Freedom of Expression? Does that mean that I can display pornography in public if I am against it? SemST",1,['SemST'],freedom express doe mean i display pornographi public i semst
#NothingMoreAmericanThan unjustified homicide of the unborn in #SemST,Legalization of Abortion,AGAINST,EO,neg,NothingMoreAmericanThan unjustified homicide of the unborn in SemST,2,"['NothingMoreAmericanThan', 'SemST']",nothingmoreamericanthan unjustifi homicid unborn semst
"@BuhayIpaglaban @blueskies366 There is no ""#abortion"" involved in taking the pill honey. #womenshealth #abortifacient #fail #SemST",Legalization of Abortion,AGAINST,WO,neg,"There is no ""abortion"" involved in taking the pill honey. womenshealth abortifacient fail SemST",5,"['abortion', 'womenshealth', 'abortifacient', 'fail', 'SemST']",there abort involv take pill honey womenshealth abortifaci fail semst
@knowj @kalenjordan @benmarks @MageTalk not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. #SemST,Legalization of Abortion,NONE,WO,neg,not ashamed to say it's me. I'm not in favor of enc itself as not banning enc modules. SemST,1,['SemST'],not asham say i not favor enc not ban enc modul semst
FYI: Whoopi Goldberg is a feminist hero for her six abortions. #WomenAgainstFeminism #SemST,Legalization of Abortion,AGAINST,EO,neg,FYI: Whoopi Goldberg is a feminist hero for her six abortions. WomenAgainstFeminism SemST,2,"['WomenAgainstFeminism', 'SemST']",fyi whoopi goldberg feminist hero six abort womenagainstfemin semst
"@ShowTruth if they made it illegal, people would use coat hangers, and your photos would really be messed up. #letdoctorsdoit #SemST",Legalization of Abortion,FAVOR,EO,neg,"if they made it illegal, people would use coat hangers, and your photos would really be messed up. letdoctorsdoit SemST",2,"['letdoctorsdoit', 'SemST']",made illeg peopl would use coat hanger photo would realli mess letdoctorsdoit semst
Our #TruthTour cont' in the @CityOttawa as we show the humanity of the unborn & inhumanity of abortion! #cdnpoli #Ottawa #onpoli #SemST,Legalization of Abortion,AGAINST,EO,neg,Our TruthTour cont' in the as we show the humanity of the unborn & inhumanity of abortion! cdnpoli Ottawa onpoli SemST,5,"['TruthTour', 'cdnpoli', 'Ottawa', 'onpoli', 'SemST']",our truthtour cont show human unborn inhuman abort cdnpoli ottawa onpoli semst
I just unfollowed someone because they tweeted about being pro-life #SemST,Legalization of Abortion,AGAINST,EO,neg,I just unfollowed someone because they tweeted about being pro-life SemST,1,['SemST'],i unfollow someon tweet pro life semst
"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",Legalization of Abortion,NONE,WO,neg,"Yes, an occasional hypocrite. I support MarriageEquaility & abhor SemST",2,"['MarriageEquaility', 'SemST']",yes occasion hypocrit i support marriageequail abhor semst
@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,Legalization of Abortion,AGAINST,EO,other,I'm totally cool with this image. Was the fetus unviable? Health at risk? SemST,1,['SemST'],i total cool imag was fetus unviabl health risk semst
"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more #SemST",Legalization of Abortion,FAVOR,EO,neg,"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more SemST",1,['SemST'],a fetus not live breath born sentient autonom pregnant woman choic matter semst
#rally4life more like rally for people who think they have the right to authorise other people's decisions #SemST,Legalization of Abortion,AGAINST,EO,neg,rally4life more like rally for people who think they have the right to authorise other people's decisions SemST,2,"['rally4life', 'SemST']",ralli life like ralli peopl think right authoris peopl decis semst
"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",Legalization of Abortion,AGAINST,EO,other,"And don't forget, now ""Private clubs"" and organizations. AKA ~> GirlScouts & SemST",2,"['GirlScouts', 'SemST']",and forget privat club organ aka girlscout semst
"@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST",Legalization of Abortion,AGAINST,EO,neg,"Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 SemST",1,['SemST'],sexual assault epidem not militari colleg univers fight stop crime less need semst
@Mediaite @CNN where is #SilencedDiscourse for @TheDemocrats questions on #Divisions #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,Legalization of Abortion,AGAINST,WO,neg,where is SilencedDiscourse for questions on Divisions SchoolChoice Taxes DoubleStandard Biased SemST,7,"['SilencedDiscourse', 'Divisions', 'SchoolChoice', 'Taxes', 'DoubleStandard', 'Biased', 'SemST']",silenceddiscours question divis schoolchoic tax doublestandard bias semst
