Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
Women ARE capable of making decisions #SemST,Legalization of Abortion,FAVOR,WO,pos,Women ARE capable of making decisions SemST,1,['SemST'],women are capabl make decis semst
If it's not a person then why do women get invitro? To have a gold fish? #SemST,Legalization of Abortion,AGAINST,EO,neg,If it's not a person then why do women get invitro? To have a gold fish? SemST,1,['SemST'],if not person women get invitro to gold fish semst
"@PrevailChris Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 #SemST",Legalization of Abortion,AGAINST,EO,neg,"Sexual Assault is Epidemic.. Not just in Military, Colleges, Universities. Fight 2 Stop this Crime=Less Need 4 SemST",1,['SemST'],sexual assault epidem not militari colleg univers fight stop crime less need semst
@ProWomanChoice @BuhayIpaglaban people like you are exactly what is wrong with our society. #ProCONTRACEPTION #unapologetic  #SemST,Legalization of Abortion,AGAINST,EO,neg,people like you are exactly what is wrong with our society. ProCONTRACEPTION unapologetic SemST,3,"['ProCONTRACEPTION', 'unapologetic', 'SemST']",peopl like exact wrong societi procontracept unapologet semst
Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? #SemST,Legalization of Abortion,FAVOR,EO,neg,Would you rather have women taking dangerous concoctions to induce abortions or know they are getting a safe & legal one? SemST,1,['SemST'],would rather women take danger concoct induc abort know get safe legal one semst
"@toby_dorena Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. #SemST",Legalization of Abortion,FAVOR,EO,pos,"Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. SemST",1,['SemST'],pregnant peopl heartbeat they feel abil make decis health semst
@JujuChangABC abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape #SemST,Legalization of Abortion,FAVOR,EO,neg,abortions should never be illegal. It should be the pregnant person's choice. Especially if that person was rape SemST,1,['SemST'],abort never illeg it pregnant person choic especi person rape semst
@MichestBlogSpot: Postinor is popularly  used for?  #MrChocho_BabyOKoko #SemST,Legalization of Abortion,NONE,NO,other,Postinor is popularly used for? MrChocho_BabyOKoko SemST,2,"['MrChocho_BabyOKoko', 'SemST']",postinor popular use mrchocho babyokoko semst
Monk's Hobbit is back in Twitter. #Catholics #SemST,Legalization of Abortion,NONE,WO,other,Monk's Hobbit is back in Twitter. Catholics SemST,2,"['Catholics', 'SemST']",monk hobbit back twitter cathol semst
"Hail (Mary), full of grace! The Lord is with you. (Luke 1:28) #SemST",Legalization of Abortion,AGAINST,WO,pos,"Hail (Mary), full of grace! The Lord is with you. (Luke 1:28) SemST",1,['SemST'],hail mari full grace the lord luke semst
CPCs in this town of 5000: 2. #goddamn #SemST,Legalization of Abortion,AGAINST,WO,neg,CPCs in this town of 5000: 2. goddamn SemST,2,"['goddamn', 'SemST']",cpcs town goddamn semst
@marcmaron @amyschumer @JuddApatow Are you a triceratops or tricerabottom? #arethosehornsyourewearing #SemST,Legalization of Abortion,NONE,WO,neg,Are you a triceratops or tricerabottom? arethosehornsyourewearing SemST,2,"['arethosehornsyourewearing', 'SemST']",are triceratop tricerabottom arethosehornsyourewear semst
@Jizismyname can't wait to see you on @heyqweentv #JizIsMyName #ElectronicaDrugDealer #Jiz  #SemST,Legalization of Abortion,AGAINST,EO,pos,can't wait to see you on JizIsMyName ElectronicaDrugDealer Jiz SemST,4,"['JizIsMyName', 'ElectronicaDrugDealer', 'Jiz', 'SemST']",wait see jizismynam electronicadrugdeal jiz semst
"How many location-efficient, #affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? #SemST",Legalization of Abortion,NONE,NO,other,"How many location-efficient, affordablehousing units could the NYC metro (pop. 23M) create if it built over all of its cemeteries? SemST",2,"['affordablehousing', 'SemST']",how mani locat effici affordableh unit could nyc metro pop m creat built cemeteri semst
@BuhayIpaglaban Bullshit multiplied by bullshit is still bullshit. #SemST,Legalization of Abortion,AGAINST,WO,neg,Bullshit multiplied by bullshit is still bullshit. SemST,1,['SemST'],bullshit multipli bullshit still bullshit semst
@DrottM I'm curious Mary are you a meat eater and an animal hide wearer? #SemST,Legalization of Abortion,NONE,WO,neg,I'm curious Mary are you a meat eater and an animal hide wearer? SemST,1,['SemST'],i curious mari meat eater anim hide wearer semst
Looking forward to the protest today. I can't be there long but I hope my signs will. #Kingston #protesters #SemST,Legalization of Abortion,AGAINST,EO,pos,Looking forward to the protest today. I can't be there long but I hope my signs will. Kingston protesters SemST,3,"['Kingston', 'protesters', 'SemST']",look forward protest today i long i hope sign kingston protest semst
@denisemourges @RepThomasMassie I know! I'm the only perfect :-) candidate. #ProCivilLiberties #ProBusiness #ProWorker #ProPeace #SemST,Legalization of Abortion,AGAINST,WO,pos,I know! I'm the only perfect :-) candidate. ProCivilLiberties ProBusiness ProWorker ProPeace SemST,5,"['ProCivilLiberties', 'ProBusiness', 'ProWorker', 'ProPeace', 'SemST']",i know i perfect candid procivilliberti probusi prowork propeac semst
it's not that i don't want to be at work. it's that i rather be asleep. #SemST,Legalization of Abortion,NONE,WO,neg,it's not that i don't want to be at work. it's that i rather be asleep. SemST,1,['SemST'],not want work rather asleep semst
"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more #SemST",Legalization of Abortion,FAVOR,EO,neg,"A fetus is not living, breathing, born, sentient, or autonomous which is why the pregnant woman's choice matters more SemST",1,['SemST'],a fetus not live breath born sentient autonom pregnant woman choic matter semst
"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",Legalization of Abortion,AGAINST,EO,neg,"Why would I want to make choices about my own body, when a congressman could do it for me? ConversationsWithAlex SemST",2,"['ConversationsWithAlex', 'SemST']",whi would i want make choic bodi congressman could conversationswithalex semst
@ShowTruth Get out of my city. #ygk #SemST,Legalization of Abortion,NONE,WO,neg,Get out of my city. ygk SemST,2,"['ygk', 'SemST']",get citi ygk semst
Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens #SemST,Legalization of Abortion,AGAINST,WO,neg,Those who wonder what they would have done had they lived at the time of some terrible injustice now know the answer -P. Hitchens SemST,1,['SemST'],those wonder would done live time terribl injustic know answer p hitchen semst
People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice #SemST,Legalization of Abortion,FAVOR,EO,pos,People with a uterus can be pro choice. People who have been pregnant can be pro choice. People who lost a child can be prochoice SemST,1,['SemST'],peopl uterus pro choic peopl pregnant pro choic peopl lost child prochoic semst
"@MikeDury And don't forget, now ""Private clubs"" and organizations. AKA ~> #GirlScouts & #SemST",Legalization of Abortion,AGAINST,EO,other,"And don't forget, now ""Private clubs"" and organizations. AKA ~> GirlScouts & SemST",2,"['GirlScouts', 'SemST']",and forget privat club organ aka girlscout semst
@XaviPereda @HillaryClinton sorry Hilary but I'm #southern and don't bleed that #rainbow #BleedRed #america #southwillriseagain #SemST,Legalization of Abortion,AGAINST,EO,neg,sorry Hilary but I'm southern and don't bleed that rainbow BleedRed america southwillriseagain SemST,6,"['southern', 'rainbow', 'BleedRed', 'america', 'southwillriseagain', 'SemST']",sorri hilari i southern bleed rainbow bleedr america southwillriseagain semst
"@BuhayIpaglaban @blueskies366 The culture of death is ""#prolife"" who deny pregnant people healthcare. #SemST",Legalization of Abortion,AGAINST,WO,neg,"The culture of death is ""prolife"" who deny pregnant people healthcare. SemST",2,"['prolife', 'SemST']",the cultur death prolif deni pregnant peopl healthcar semst
Today is a great because we are alive. #SemST,Legalization of Abortion,NONE,WO,pos,Today is a great because we are alive. SemST,1,['SemST'],today great aliv semst
@Independent_ie No one has 5he right to tell any person what they should do with their body #SemST,Legalization of Abortion,AGAINST,EO,neg,No one has 5he right to tell any person what they should do with their body SemST,1,['SemST'],no one right tell person bodi semst
@meamhere It isn't going to happen. The LW and the RW have too many differences. #ForeignPolicy #HealthCareLegislation #Economics #SemST,Legalization of Abortion,NONE,WO,neg,It isn't going to happen. The LW and the RW have too many differences. ForeignPolicy HealthCareLegislation Economics SemST,4,"['ForeignPolicy', 'HealthCareLegislation', 'Economics', 'SemST']",it go happen the lw rw mani differ foreignpolici healthcarelegisl econom semst
"@ShowTruth if they made it illegal, people would use coat hangers, and your photos would really be messed up. #letdoctorsdoit #SemST",Legalization of Abortion,FAVOR,EO,neg,"if they made it illegal, people would use coat hangers, and your photos would really be messed up. letdoctorsdoit SemST",2,"['letdoctorsdoit', 'SemST']",made illeg peopl would use coat hanger photo would realli mess letdoctorsdoit semst
@BuhayIpaglaban @laurawrpie @_msthirdward @blueskies366 I'm totally cool with this image. Was the fetus unviable? Health at risk? #SemST,Legalization of Abortion,AGAINST,EO,other,I'm totally cool with this image. Was the fetus unviable? Health at risk? SemST,1,['SemST'],i total cool imag was fetus unviabl health risk semst
This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST,Legalization of Abortion,FAVOR,EO,neg,This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored SemST,1,['SemST'],this reason sexist cover women birth control ani issu primarili effect women ignor semst
The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has given no explanation of why the law was changed macedonia HRCtte SemST,3,"['macedonia', 'HRCtte', 'SemST']",the govern given explan law chang macedonia hrctte semst
#FF #Patriot --> PigsWalkUpright.  Thanks 4 following back!! #Truth #Liberty #Justice #ProIsrael #2A #RiseUpAmerica #ProudAmerican #SemST,Legalization of Abortion,NONE,NO,pos,FF Patriot --> PigsWalkUpright. Thanks 4 following back!! Truth Liberty Justice ProIsrael 2A RiseUpAmerica ProudAmerican SemST,10,"['FF', 'Patriot', 'Truth', 'Liberty', 'Justice', 'ProIsrael', '2A', 'RiseUpAmerica', 'ProudAmerican', 'SemST']",ff patriot pigswalkupright thank follow back truth liberti justic proisrael a riseupamerica proudamerican semst
Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment  #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws are sexist because they ignore the fact that men abandon their pregnant partners & those men face no punishment SemST,1,['SemST'],anti choic law sexist ignor fact men abandon pregnant partner men face punish semst
I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST,Legalization of Abortion,FAVOR,EO,neg,I wonder if antichoice ever wonder if the pregnant teen they denied accurate SexED to could have been the one to cure cancer. SemST,4,"['antichoice', 'teen', 'SexED', 'SemST']",i wonder antichoic ever wonder pregnant teen deni accur sex could one cure cancer semst
@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,Legalization of Abortion,AGAINST,WO,neg,what do u call teens hu got pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? SemST,3,"['teens', 'pregnant', 'SemST']",u call teen hu got pregnant even ingest contracept success can chast girl get pregnant semst
I #DenounceHarper because his religious ties are responsible for the #MarchForLife anti-choice rallies on Parliament Hill. #SemST,Legalization of Abortion,AGAINST,EO,neg,I DenounceHarper because his religious ties are responsible for the MarchForLife anti-choice rallies on Parliament Hill. SemST,3,"['DenounceHarper', 'MarchForLife', 'SemST']",i denounceharp religi tie respons marchforlif anti choic ralli parliament hill semst
A much needed 3 days with these guys @rory3burke @Im_Brady missed @JimmahTwittah but what a weekend #SemST,Legalization of Abortion,AGAINST,WO,pos,A much needed 3 days with these guys missed but what a weekend SemST,1,['SemST'],a much need day guy miss weekend semst
@AndySwan lol.  I don't know about that.  #schoolprayer #GovtEndorsementOfHeterosexualMarriage #SemST,Legalization of Abortion,NONE,NO,neg,lol. I don't know about that. schoolprayer GovtEndorsementOfHeterosexualMarriage SemST,3,"['schoolprayer', 'GovtEndorsementOfHeterosexualMarriage', 'SemST']",lol i know schoolpray govtendorsementofheterosexualmarriag semst
Helping achieve repro. justice 1 step @ a time. #abfunds #love #compassion #abortionrights #nnaf #SemST,Legalization of Abortion,FAVOR,EO,pos,Helping achieve repro. justice 1 step a time. abfunds love compassion abortionrights nnaf SemST,6,"['abfunds', 'love', 'compassion', 'abortionrights', 'nnaf', 'SemST']",help achiev repro justic step time abfund love compass abortionright nnaf semst
Anti choice laws are sexist because they only effect women*.   #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws are sexist because they only effect women*. SemST,1,['SemST'],anti choic law sexist effect women semst
@WBCBowie NY pastors need to call their State Senators and stop this barbaric bill!istorture #SemST,Legalization of Abortion,AGAINST,WO,neg,NY pastors need to call their State Senators and stop this barbaric bill!istorture SemST,1,['SemST'],ny pastor need call state senat stop barbar bill istortur semst
@BuhayIpaglaban @laurawrpie @JaxLeSigh Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. #SemST,Legalization of Abortion,NONE,WO,pos,Like I said I'm glad this medical procedure is around so that pregnant people stay healthy. SemST,1,['SemST'],like i said i glad medic procedur around pregnant peopl stay healthi semst
"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure #SemST",Legalization of Abortion,AGAINST,NO,pos,"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure SemST",1,['SemST'],i think woman choic her bodi but i know im woman sure semst
if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? #UniteBlue #LibCrib #maddow #SemST,Legalization of Abortion,AGAINST,EO,neg,if truth is a micro aggression 2 the left Why is name calling by the left not a mega hypocrisy? UniteBlue LibCrib maddow SemST,4,"['UniteBlue', 'LibCrib', 'maddow', 'SemST']",truth micro aggress left whi name call left not mega hypocrisi uniteblu libcrib maddow semst
Anti-choice laws are entirely men controlling women  #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti-choice laws are entirely men controlling women SemST,1,['SemST'],anti choic law entir men control women semst
"@BuresLynn @sallykohn @CoFemale Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence.  #SemST",Legalization of Abortion,NONE,WO,neg,"Kohn is also anti-human rights, anti-social justice, anti-peace, pro-violence. SemST",1,['SemST'],kohn also anti human right anti social justic anti peac pro violenc semst
Like how can you sit there and even go through with the process #SemST,Legalization of Abortion,NONE,WO,neg,Like how can you sit there and even go through with the process SemST,1,['SemST'],like sit even go process semst
asked a protester-u'll fund the moms?Yes-So #announced it in DT #hamont-yo ppl #NoAbortion=these ppl wth picz will pay 4yo' kids #SemST,Legalization of Abortion,AGAINST,EO,other,asked a protester-u'll fund the moms?Yes-So announced it in DT hamont-yo ppl NoAbortion=these ppl wth picz will pay 4yo' kids SemST,4,"['announced', 'hamont', 'NoAbortion', 'SemST']",ask protest u fund mom yes so announc dt hamont yo ppl noabort ppl wth picz pay yo kid semst
People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control  #SemST,Legalization of Abortion,AGAINST,EO,neg,People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control SemST,1,['SemST'],peopl care thing effect men reason sexist cover birth control semst
"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy. #SemST",Legalization of Abortion,FAVOR,EO,neg,"antichoice NEVER try to police men over sex, but punishing women puts them into a frenzy. SemST",2,"['antichoice', 'SemST']",antichoic never tri polic men sex punish women put frenzi semst
"Natural family planning isn't ""planning"" at all since it just doesn't work. #SemST",Legalization of Abortion,AGAINST,EO,neg,"Natural family planning isn't ""planning"" at all since it just doesn't work. SemST",1,['SemST'],natur famili plan plan sinc work semst
"@BuhayIpaglaban @_msthirdward @blueskies366 ""Natural"" family planning isn't ""planning"" at all since it just doesn't work. #SemST",Legalization of Abortion,AGAINST,WO,neg,"""Natural"" family planning isn't ""planning"" at all since it just doesn't work. SemST",1,['SemST'],natur famili plan plan sinc work semst
Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men #SemST,Legalization of Abortion,FAVOR,EO,neg,Antis don't care because the only people the laws are hurting are females and they don't care about things that don't effect men SemST,1,['SemST'],anti care peopl law hurt femal care thing effect men semst
The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,Legalization of Abortion,AGAINST,EO,neg,The government has not been able to point to any improved health outcomes for women law macedonia HRCtte SemST,4,"['law', 'macedonia', 'HRCtte', 'SemST']",the govern not abl point improv health outcom women law macedonia hrctte semst
Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,Legalization of Abortion,AGAINST,EO,pos,Please vote against the anti-choice amendment to the Scotland Bill on Monday - Thanks! abortionrights SemST,2,"['abortionrights', 'SemST']",pleas vote anti choic amend scotland bill monday thank abortionright semst
@thejournal_ie sad this is what has to be done for women in need #SemST,Legalization of Abortion,NONE,WO,neg,sad this is what has to be done for women in need SemST,1,['SemST'],sad done women need semst
@BernieSanders if men were the ones that got preganant this would be a non issue in America #Bernie2016 #WomensRights #Solidarity #SemST,Legalization of Abortion,FAVOR,EO,neg,if men were the ones that got preganant this would be a non issue in America Bernie2016 WomensRights Solidarity SemST,4,"['Bernie2016', 'WomensRights', 'Solidarity', 'SemST']",men one got pregan would non issu america berni womensright solidar semst
