Tweet,Target,Stance,Opinion Towards,Sentiment,first_cleaning_text,n_hashtags,hashtags,cleaned_text
@djred678 : My views are my own. #AllLivesMatter #PrebornLivesMatter #AbortionIsViolence #Whyi'mNotVotingForHillary #SemST,Legalization of Abortion,AGAINST,EO,neg,: My views are my own. AllLivesMatter PrebornLivesMatter AbortionIsViolence Whyi'mNotVotingForHillary SemST,5,"['AllLivesMatter', 'PrebornLivesMatter', 'AbortionIsViolence', 'Whyi', 'SemST']",my view alllivesmatt prebornlivesmatt abortionisviol whyi mnotvotingforhillari semst
Next time just keep the baby   #SemST,Legalization of Abortion,AGAINST,WO,neg,Next time just keep the baby SemST,1,['SemST'],next time keep babi semst
If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,neg,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",if u come countri bettwr life fuck adapt usa way a a nra cos ccot tgdn pjnet wakeupamerica semst
Was at the planned parenthood protest in #fitchburg today with the image of Our Lady of America #catholic #SemST,Legalization of Abortion,AGAINST,EO,neg,Was at the planned parenthood protest in fitchburg today with the image of Our Lady of America catholic SemST,3,"['fitchburg', 'catholic', 'SemST']",was plan parenthood protest fitchburg today imag our ladi america cathol semst
.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. #clowncar #SemST,Legalization of Abortion,AGAINST,EO,neg,.@BuhayIpaglaban perhaps you want to go to the fertility clinics & rescue them all. How many can you fit in your womb. clowncar SemST,2,"['clowncar', 'SemST']",buhayipaglaban perhap want go fertil clinic rescu how mani fit womb clowncar semst
I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience #PregnancyForAll #SemST,Legalization of Abortion,AGAINST,WO,other,I do not want to bring a child into this dangerous patriarchy. But I want to feel pregnancy as an experience PregnancyForAll SemST,2,"['PregnancyForAll', 'SemST']",i not want bring child danger patriarchi but i want feel pregnanc experi pregnancyforal semst
I just unfollowed someone because they tweeted about being pro-life #SemST,Legalization of Abortion,AGAINST,EO,neg,I just unfollowed someone because they tweeted about being pro-life SemST,1,['SemST'],i unfollow someon tweet pro life semst
Liberals say I need more tolerance. I say screw tolerating murder.                                #AbortionKills #ToleranceIsDeath #SemST,Legalization of Abortion,AGAINST,EO,neg,Liberals say I need more tolerance. I say screw tolerating murder. AbortionKills ToleranceIsDeath SemST,3,"['AbortionKills', 'ToleranceIsDeath', 'SemST']",liber say i need toler i say screw toler murder abortionkil toleranceisdeath semst
It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,Legalization of Abortion,AGAINST,EO,neg,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures. ProLifeYouth SemST,2,"['ProLifeYouth', 'SemST']",it sad see mani peopl get valu hollywood rather holi scriptur prolifeyouth semst
"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? #SemST",Legalization of Abortion,AGAINST,EO,neg,"If we are pronounced dead when our heart stops, why are we not pronounced alive when our heart starts? SemST",1,['SemST'],if pronounc dead heart stop not pronounc aliv heart start semst
"@paradiselost_17 @ArguDaz @Brainman365 @PolarVan @yetigcreature Yes, an occasional hypocrite. I support #MarriageEquaility & abhor #SemST",Legalization of Abortion,NONE,WO,neg,"Yes, an occasional hypocrite. I support MarriageEquaility & abhor SemST",2,"['MarriageEquaility', 'SemST']",yes occasion hypocrit i support marriageequail abhor semst
"Not all women want to have or bear children, and that is okay  #SemST",Legalization of Abortion,FAVOR,EO,pos,"Not all women want to have or bear children, and that is okay SemST",1,['SemST'],not women want bear children okay semst
"In 1776 we killed the conservatives, freed ourselves from that crap #rightwing #Christian #ChurchState #Tyranny. #Uniteblue #tcot #SemST",Legalization of Abortion,AGAINST,EO,neg,"In 1776 we killed the conservatives, freed ourselves from that crap rightwing Christian ChurchState Tyranny. Uniteblue tcot SemST",7,"['rightwing', 'Christian', 'ChurchState', 'Tyranny', 'Uniteblue', 'tcot', 'SemST']",in kill conserv freed crap rightw christian churchstat tyranni uniteblu tcot semst
So the #Democrats tore down their OWN #ConfederateFlag NOW if they get rid of THEIR #KKK #blackpanthers #alsharpton #hate #SemST,Legalization of Abortion,NONE,WO,neg,So the Democrats tore down their OWN ConfederateFlag NOW if they get rid of THEIR KKK blackpanthers alsharpton hate SemST,7,"['Democrats', 'ConfederateFlag', 'KKK', 'blackpanthers', 'alsharpton', 'hate', 'SemST']",so democrat tore own confederateflag now get rid their kkk blackpanth alsharpton hate semst
"Some babies die by chance, none should die by choice! #SemST",Legalization of Abortion,AGAINST,EO,neg,"Some babies die by chance, none should die by choice! SemST",1,['SemST'],some babi die chanc none die choic semst
"If the Pope gave a flying fuck about the poor on his home continent, he'd let them have abortion and birth control. #SemST",Legalization of Abortion,AGAINST,EO,neg,"If the Pope gave a flying fuck about the poor on his home continent, he'd let them have abortion and birth control. SemST",1,['SemST'],if pope gave fli fuck poor home contin let abort birth control semst
I am about to deck these 2 bitches in the fucking mouth.  #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,Legalization of Abortion,AGAINST,WO,neg,I am about to deck these 2 bitches in the fucking mouth. 1A 2A NRA COS CCOT TGDN PJNET WAKEUPAMERICA SemST,9,"['1A', '2A', 'NRA', 'COS', 'CCOT', 'TGDN', 'PJNET', 'WAKEUPAMERICA', 'SemST']",i deck bitch fuck mouth a a nra cos ccot tgdn pjnet wakeupamerica semst
"@BuhayIpaglaban @laurawrpie Every time I ""discuss"" with ""#prolife"" it reaffirms my belief that #antichoice are complete idiots. #SemST",Legalization of Abortion,FAVOR,EO,neg,"Every time I ""discuss"" with ""prolife"" it reaffirms my belief that antichoice are complete idiots. SemST",3,"['prolife', 'antichoice', 'SemST']",everi time i discuss prolif reaffirm belief antichoic complet idiot semst
Pro Choice? Just choose to kill yourself after your baby is born. #SemST,Legalization of Abortion,AGAINST,EO,neg,Pro Choice? Just choose to kill yourself after your baby is born. SemST,1,['SemST'],pro choic just choos kill babi born semst
Abortionists and their supporters are the REAL misogynists! #Catholic #Christian #progressive #liberal #SemST,Legalization of Abortion,AGAINST,EO,neg,Abortionists and their supporters are the REAL misogynists! Catholic Christian progressive liberal SemST,5,"['Catholic', 'Christian', 'progressive', 'liberal', 'SemST']",abortionist support real misogynist cathol christian progress liber semst
The beauty of the morning seems ruined knowing abortion clinics open soon. Another day of 900+ lives lost to @PPact & friends.      #SemST,Legalization of Abortion,AGAINST,EO,neg,The beauty of the morning seems ruined knowing abortion clinics open soon. Another day of 900+ lives lost to & friends. SemST,1,['SemST'],the beauti morn seem ruin know abort clinic open soon anoth day live lost friend semst
@bradfischetti just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST,Legalization of Abortion,AGAINST,EO,pos,just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance LFO SemST,2,"['LFO', 'SemST']",want say i appreci pro life stanc a lot celebr afraid show bold stanc lfo semst
Anti choice laws are sexist because they only effect women*.   #SemST,Legalization of Abortion,FAVOR,EO,neg,Anti choice laws are sexist because they only effect women*. SemST,1,['SemST'],anti choic law sexist effect women semst
@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness #SemST,Legalization of Abortion,AGAINST,EO,neg,The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness SemST,1,['SemST'],the justif abort root selfish fear come lack faith self centered semst
"Hi @HillaryClinton while you are campaigning, 3000 innocent lives were killed by your pals #rednationrising #uniteblue #SemST",Legalization of Abortion,AGAINST,EO,neg,"Hi while you are campaigning, 3000 innocent lives were killed by your pals rednationrising uniteblue SemST",3,"['rednationrising', 'uniteblue', 'SemST']",hi campaign innoc live kill pal rednationris uniteblu semst
I would never expect an 11 year old girl to have to carry a pregnancy to term #SemST,Legalization of Abortion,FAVOR,EO,neg,I would never expect an 11 year old girl to have to carry a pregnancy to term SemST,1,['SemST'],i would never expect year old girl carri pregnanc term semst
"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin #RomanCatholic #SemST",Legalization of Abortion,AGAINST,WO,pos,"we must always see others as Christ sees us,we must see God in all things&remeber 2 look past sin RomanCatholic SemST",2,"['RomanCatholic', 'SemST']",must alway see other christ see us must see god thing remeb look past sin romancathol semst
@mistyaiya Just saw your review of @chadkultgen's book at Amazon. I have to say I totally agree with you. A sick marketing ploy. #SemST,Legalization of Abortion,NONE,NO,other,Just saw your review of book at Amazon. I have to say I totally agree with you. A sick marketing ploy. SemST,1,['SemST'],just saw review book amazon i say i total agre a sick market ploy semst
I hope you all either enjoy the rugby or enjoy not enjoying the rugby #SemST,Legalization of Abortion,AGAINST,EO,pos,I hope you all either enjoy the rugby or enjoy not enjoying the rugby SemST,1,['SemST'],i hope either enjoy rugbi enjoy not enjoy rugbi semst
"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",Legalization of Abortion,AGAINST,WO,neg,"DefentThe8th? Why would I defend something that kills people? Remember Savita, killed by Irish ""prolife"" laws? RepealThe8th SemST",5,"['DefentThe8th', 'Savita', 'prolife', 'RepealThe8th', 'SemST']",defentth th whi would i defend someth kill peopl rememb savita kill irish prolif law repealth th semst
People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control  #SemST,Legalization of Abortion,AGAINST,EO,neg,People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control SemST,1,['SemST'],peopl care thing effect men reason sexist cover birth control semst
"@BuhayIpaglaban So you've blown right past the whole ""women stopped dying after RvW"" thing. #prolifelie #hashtagitall #SemST",Legalization of Abortion,AGAINST,EO,neg,"So you've blown right past the whole ""women stopped dying after RvW"" thing. prolifelie hashtagitall SemST",3,"['prolifelie', 'hashtagitall', 'SemST']",so blown right past whole women stop die rvw thing prolifeli hashtagital semst
"Leftist, Progressives love 2lie & claim they believe in God, but if they do they would never support #gaymarriage #Obamacare #SemST",Legalization of Abortion,AGAINST,EO,neg,"Leftist, Progressives love 2lie & claim they believe in God, but if they do they would never support gaymarriage Obamacare SemST",3,"['gaymarriage', 'Obamacare', 'SemST']",leftist progress love lie claim believ god would never support gaymarriag obamacar semst
"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 #comequicklyLordJesus #SemST",Legalization of Abortion,AGAINST,EO,other,"For he who avenges blood remembers, he does not ignore the cry of the afflicted. ~ Ps 9:12 comequicklyLordJesus SemST",2,"['comequicklyLordJesus', 'SemST']",for aveng blood rememb not ignor cri afflict ps comequicklylordjesus semst
#ICCPR report does not cite any reasons for the changes in the legislation regulating. #macedonia #law # #SemST,Legalization of Abortion,AGAINST,WO,neg,ICCPR report does not cite any reasons for the changes in the legislation regulating. macedonia law # SemST,4,"['ICCPR', 'macedonia', 'law', 'SemST']",iccpr report not cite reason chang legisl regul macedonia law semst
"@nytimes while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. #SemST",Legalization of Abortion,NONE,WO,neg,"while you are at it, eliminate all drugs, cars, planes, food, electricity, and anything else that MAY cause a death. SemST",1,['SemST'],elimin drug car plane food electr anyth els may caus death semst
@notmuchelse But of course today one doesn't have to be responsible You can kill your child instead! #SemST,Legalization of Abortion,AGAINST,EO,neg,But of course today one doesn't have to be responsible You can kill your child instead! SemST,1,['SemST'],but cours today one respons you kill child instead semst
@eilistweets  Surprised? A poll sponsored by biased @AmnestyIreland was always going to give a pro-abortion result #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,Surprised? A poll sponsored by biased was always going to give a pro-abortion result repealthe8th SemST,2,"['repealthe8th', 'SemST']",surpris a poll sponsor bias alway go give pro abort result repealth th semst
"@LifeSite Right, where are the pre-born women's rights? #allLivesMatter #equalRights #SemST",Legalization of Abortion,AGAINST,EO,neg,"Right, where are the pre-born women's rights? allLivesMatter equalRights SemST",3,"['allLivesMatter', 'equalRights', 'SemST']",right pre born women right alllivesmatt equalright semst
Women have outgrown the common housewife stigma long ago #SemST,Legalization of Abortion,NONE,WO,pos,Women have outgrown the common housewife stigma long ago SemST,1,['SemST'],women outgrown common housewif stigma long ago semst
#ChildrensCentre's in the #UK have stay & play sessions for very young / single parents  #childcare #parenting #SemST,Legalization of Abortion,AGAINST,WO,pos,ChildrensCentre's in the UK have stay & play sessions for very young / single parents childcare parenting SemST,5,"['ChildrensCentre', 'UK', 'childcare', 'parenting', 'SemST']",childrenscentr uk stay play session young singl parent childcar parent semst
@notmuchelse Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! @chooseliferacer #SemST,Legalization of Abortion,AGAINST,EO,neg,Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! SemST,1,['SemST'],don get pregnant make sure get pregnant kill child semst
#populationcontrol = controlling the incoming generations. that's why there's #demographicwinter  #epicfail  #philippines #rhlaw. #SemST,Legalization of Abortion,AGAINST,WO,neg,populationcontrol = controlling the incoming generations. that's why there's demographicwinter epicfail philippines rhlaw. SemST,6,"['populationcontrol', 'demographicwinter', 'epicfail', 'philippines', 'rhlaw', 'SemST']",populationcontrol control incom generat demographicwint epicfail philippin rhlaw semst
Dear America: If only a 3D ultrasound picture could evoke the same emotional response. #lifeisprecious #SemST,Legalization of Abortion,AGAINST,EO,neg,Dear America: If only a 3D ultrasound picture could evoke the same emotional response. lifeisprecious SemST,2,"['lifeisprecious', 'SemST']",dear america if d ultrasound pictur could evok emot respons lifeispreci semst
Watch out for censorship in your news and media! #politicalrevolution #immigration #RedNationRising #Constitution #CorruptMedia #SemST,Legalization of Abortion,NONE,WO,neg,Watch out for censorship in your news and media! politicalrevolution immigration RedNationRising Constitution CorruptMedia SemST,6,"['politicalrevolution', 'immigration', 'RedNationRising', 'Constitution', 'CorruptMedia', 'SemST']",watch censorship news media politicalrevolut immigr rednationris constitut corruptmedia semst
For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen #Christian #SemST,Legalization of Abortion,AGAINST,EO,pos,For great is thy mercy toward me; & thou hast delivered my soul from an evil place. Amen Christian SemST,2,"['Christian', 'SemST']",for great thi merci toward thou hast deliv soul evil place amen christian semst
Of course an embryo is a person! If it were a puppy there'd be no desire to abort it. #SemST,Legalization of Abortion,AGAINST,EO,neg,Of course an embryo is a person! If it were a puppy there'd be no desire to abort it. SemST,1,['SemST'],of cours embryo person if puppi desir abort semst
@BaronTrader @DynaMoChen  Margret Sangers Looking a little rough!!!! #SemST,Legalization of Abortion,NONE,NO,neg,Margret Sangers Looking a little rough!!!! SemST,1,['SemST'],margret sanger look littl rough semst
"I was an accidental baby and as far as I know, my parents were happy to have me. #thanksmom #SemST",Legalization of Abortion,AGAINST,EO,pos,"I was an accidental baby and as far as I know, my parents were happy to have me. thanksmom SemST",2,"['thanksmom', 'SemST']",i accident babi far i know parent happi thanksmom semst
"Compromising on #sin gets easier as time goes on. Oh yeah, it didn't just start! #sexual-impurity #WakeUpAmerica #SemST",Legalization of Abortion,AGAINST,WO,neg,"Compromising on sin gets easier as time goes on. Oh yeah, it didn't just start! sexual-impurity WakeUpAmerica SemST",4,"['sin', 'sexual', 'WakeUpAmerica', 'SemST']",compromis sin get easier time goe oh yeah start sexual impur wakeupamerica semst
There is nothing sadder than pro-life young women. I can't help but pity the fools. #repealthe8th #SemST,Legalization of Abortion,AGAINST,EO,neg,There is nothing sadder than pro-life young women. I can't help but pity the fools. repealthe8th SemST,2,"['repealthe8th', 'SemST']",there noth sadder pro life young women i help piti fool repealth th semst
Happy July 4th- freedom day! Let liberty ring out! #freedom #Faith #Jesus #REVIVAL #Life #tcot #SemST,Legalization of Abortion,AGAINST,WO,pos,Happy July 4th- freedom day! Let liberty ring out! freedom Faith Jesus REVIVAL Life tcot SemST,7,"['freedom', 'Faith', 'Jesus', 'REVIVAL', 'Life', 'tcot', 'SemST']",happi juli th freedom day let liberti ring freedom faith jesus reviv life tcot semst
Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. #rape #SemST,Legalization of Abortion,AGAINST,EO,neg,Those who deny women who've been raped abortion are the same ppl who tell rape victims they asked for it. rape SemST,2,"['rape', 'SemST']",those deni women rape abort ppl tell rape victim ask rape semst
@laurawrpie protect them by informing #HIV s acquired by having sex even wen using #condoms HIGH #RISK of acquiring it #teens #SemST,Legalization of Abortion,NONE,WO,neg,protect them by informing HIV s acquired by having sex even wen using condoms HIGH RISK of acquiring it teens SemST,5,"['HIV', 'condoms', 'RISK', 'teens', 'SemST']",protect inform hiv acquir sex even wen use condom high risk acquir teen semst
"@toby_dorena Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. #SemST",Legalization of Abortion,FAVOR,EO,pos,"Pregnant people have more than heartbeats. They have feelings, and the ability to make decisions about their health. SemST",1,['SemST'],pregnant peopl heartbeat they feel abil make decis health semst
Helping achieve repro. justice 1 step @ a time. #abfunds #love #compassion #abortionrights #nnaf #SemST,Legalization of Abortion,FAVOR,EO,pos,Helping achieve repro. justice 1 step a time. abfunds love compassion abortionrights nnaf SemST,6,"['abfunds', 'love', 'compassion', 'abortionrights', 'nnaf', 'SemST']",help achiev repro justic step time abfund love compass abortionright nnaf semst
@ShowTruth You're truly unwelcome here. Please leave.  #ygk #SemST,Legalization of Abortion,NONE,WO,neg,You're truly unwelcome here. Please leave. ygk SemST,2,"['ygk', 'SemST']",you truli unwelcom pleas leav ygk semst
Just been having rather horrible discussion with @Tim_Hallan - reminder that we have a long way to go. #HumanRights #healthcare #SemST,Legalization of Abortion,NONE,WO,neg,Just been having rather horrible discussion with - reminder that we have a long way to go. HumanRights healthcare SemST,3,"['HumanRights', 'healthcare', 'SemST']",just rather horribl discuss remind long way go humanright healthcar semst
I can think of a thousand things more important than Keith Olbermann. #SanctuaryCities #IRSscandal #Benghazi #Bergdahl #USDebt #SemST,Legalization of Abortion,NONE,WO,neg,I can think of a thousand things more important than Keith Olbermann. SanctuaryCities IRSscandal Benghazi Bergdahl USDebt SemST,6,"['SanctuaryCities', 'IRSscandal', 'Benghazi', 'Bergdahl', 'USDebt', 'SemST']",i think thousand thing import keith olbermann sanctuaryc irsscand benghazi bergdahl usdebt semst
